Date : 2024-04-29 11:57:25
Directory : d:\CongNgheMoi\Zalo_ReactJS_Frontend\src
Total : 129 files,  11329 codes, 205 comments, 987 blanks, all 12521 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\newGroupChat.modal.jsx          | JavaScript JSX |        288 |          1 |         24 |        313 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\newGroupChat.modal.scss         | SCSS           |        130 |          0 |          2 |        132 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\pins.modal.jsx                  | JavaScript JSX |         79 |          0 |          5 |         84 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\pins.modal.scss                 | SCSS           |         19 |          0 |          1 |         20 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\setting.modal.jsx               | JavaScript JSX |        165 |         31 |         20 |        216 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\setting.modal.scss              | SCSS           |        103 |          0 |          4 |        107 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\navigator\sidebar.jsx                 | JavaScript JSX |        182 |          0 |         27 |        209 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\navigator\sidebar.scss                | SCSS           |         41 |          0 |          4 |         45 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\navigator\wrapperItem.sidebar.jsx     | JavaScript JSX |         11 |          0 |          2 |         13 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\navigator\wrapperItem.sidebar.scss    | SCSS           |         19 |          0 |          1 |         20 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\popover\chat.popover.jsx              | JavaScript JSX |         77 |          0 |         14 |         91 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\popover\chat.popover.scss             | SCSS           |         18 |          0 |          2 |         20 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\popover\chooseFileUpload.popover.jsx  | JavaScript JSX |         52 |          0 |          8 |         60 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\popover\chooseFileUpload.popover.scss | SCSS           |         17 |          0 |          1 |         18 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\popover\friend.popover.jsx            | JavaScript JSX |         36 |          0 |          5 |         41 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\popover\friend.popover.scss           | SCSS           |         13 |          0 |          1 |         14 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\popover\sticky.popover.jsx            | JavaScript JSX |         86 |          0 |         13 |         99 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\popover\sticky.popover.scss           | SCSS           |         17 |          0 |          1 |         18 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\resetPassword.component.jsx           | JavaScript JSX |        136 |          0 |         14 |        150 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\resetPassword.component.scss          | SCSS           |         34 |          0 |          5 |         39 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\route\privateRoute.jsx                | JavaScript JSX |         10 |          0 |          1 |         11 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\upload\file.upload.jsx                | JavaScript JSX |         46 |          0 |          4 |         50 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\upload\file.upload.scss               | SCSS           |        123 |          0 |          5 |        128 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\user\avatar.jsx                       | JavaScript JSX |         60 |          0 |          3 |         63 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\user\chat.user.jsx                    | JavaScript JSX |         95 |          3 |          5 |        103 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\user\chat.user.scss                   | SCSS           |         80 |          0 |          3 |         83 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\user\invited.user.jsx                 | JavaScript JSX |         87 |          0 |          8 |         95 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\user\invited.user.scss                | SCSS           |         55 |          0 |          1 |         56 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\user\status.user.jsx                  | JavaScript JSX |        127 |          0 |         11 |        138 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\user\status.user.scss                 | SCSS           |         33 |          0 |          1 |         34 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\verify.component.jsx                  | JavaScript JSX |        219 |          8 |         20 |        247 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\verify.component.scss                 | SCSS           |        115 |          4 |         13 |        132 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\index.scss                                       | SCSS           |         51 |          5 |          8 |         64 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\layouts\homeLayout.jsx                           | JavaScript JSX |        119 |          4 |         13 |        136 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\layouts\homeLayout.scss                          | SCSS           |          5 |          0 |          1 |          6 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\layouts\homeSubLayout.jsx                        | JavaScript JSX |        165 |          2 |         17 |        184 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\layouts\homeSubLayout.scss                       | SCSS           |         44 |          0 |          1 |         45 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\layouts\outsideLayout.jsx                        | JavaScript JSX |         10 |          0 |          2 |         12 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\main.jsx                                         | JavaScript JSX |         20 |          4 |          9 |         33 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\mocks\users.json                                 | JSON           |         19 |          0 |          0 |         19 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\auth\auth.loginPage.jsx                    | JavaScript JSX |         45 |          1 |          7 |         53 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\auth\auth.loginPage.scss                   | SCSS           |         36 |          2 |          4 |         42 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\error.page.jsx                             | JavaScript JSX |         30 |          0 |          4 |         34 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\chat\chat.main.jsx                    | JavaScript JSX |      1,695 |         42 |        113 |      1,850 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\chat\chat.main.scss                   | SCSS           |        731 |          8 |         12 |        751 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\chat\emoijPopup.chat.jsx              | JavaScript JSX |        103 |          0 |         12 |        115 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\chat\emoijPopup.chat.scss             | SCSS           |         21 |          5 |          1 |         27 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\chat\message.chat.jsx                 | JavaScript JSX |        368 |          5 |         31 |        404 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\chat\message.chat.scss                | SCSS           |        257 |          1 |          9 |        267 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\content.main.jsx                      | JavaScript JSX |         82 |          0 |          7 |         89 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\group.friend.jsx               | JavaScript JSX |         15 |          0 |          2 |         17 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\group.friend.scss              | SCSS           |          4 |          0 |          1 |          5 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\invited.friend.jsx             | JavaScript JSX |        113 |          0 |         12 |        125 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\invited.friend.scss            | SCSS           |         52 |          0 |          2 |         54 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\list.friend.jsx                | JavaScript JSX |        126 |          0 |         14 |        140 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\list.friend.scss               | SCSS           |         30 |          0 |          3 |         33 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\listFriends.friends.jsx        | JavaScript JSX |         68 |          0 |          7 |         75 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\listFriends.friends.scss       | SCSS           |         28 |          0 |          2 |         30 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\main.welcome.jsx                      | JavaScript JSX |         85 |          3 |          5 |         93 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\main.welcome.scss                     | SCSS           |         96 |          0 |          1 |         97 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\notFound.page.jsx                          | JavaScript JSX |         22 |          0 |          5 |         27 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\notFound.page.scss                         | SCSS           |          8 |          0 |          2 |         10 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\sidebar\chat.sidebar.jsx                   | JavaScript JSX |        179 |         18 |         22 |        219 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\sidebar\chat.sidebar.scss                  | SCSS           |         50 |          0 |          1 |         51 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\sidebar\friend.sidebar.jsx                 | JavaScript JSX |         62 |          0 |         10 |         72 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\sidebar\home.message.search.jsx            | JavaScript JSX |         65 |          0 |          9 |         74 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\sidebar\home.message.search.scss           | SCSS           |         54 |          1 |          2 |         57 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\sidebar\home.message.sidebar.scss          | SCSS           |          8 |          0 |          1 |          9 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\sidebar\home.sidebar.jsx                   | JavaScript JSX |         38 |          0 |          7 |         45 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\test.page.jsx                              | JavaScript JSX |         33 |          0 |          6 |         39 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\test.page.scss                             | SCSS           |          0 |          0 |          1 |          1 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\actions\app.action.js                      | JavaScript     |         57 |          0 |         13 |         70 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\actions\user.action.js                     | JavaScript     |         32 |          0 |          6 |         38 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\reducers\app.reducer.js                    | JavaScript     |         97 |          0 |          5 |        102 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\reducers\user.reducer.js                   | JavaScript     |         40 |          0 |          7 |         47 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\rootReducer.js                             | JavaScript     |          7 |          0 |          2 |          9 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\store.js                                   | JavaScript     |         15 |          0 |          4 |         19 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\types\type.app.js                          | JavaScript     |         31 |          0 |          5 |         36 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\types\type.user.js                         | JavaScript     |         88 |          0 |          7 |         95 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\route.jsx                                        | JavaScript JSX |         64 |          1 |          6 |         71 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\type\rootCss.type.js                             | JavaScript     |          4 |          0 |          0 |          4 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\utils\axios.js                                   | JavaScript     |         61 |         14 |         10 |         85 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\utils\checkAuth.js                               | JavaScript     |         16 |          0 |          3 |         19 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\utils\checkFriend.js                             | JavaScript     |          9 |          0 |          2 |         11 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\utils\firebase.js                                | JavaScript     |         13 |          9 |          7 |         29 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\utils\handleChat.js                              | JavaScript     |         43 |          0 |          9 |         52 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\utils\handleUltils.js                            | JavaScript     |         86 |          6 |          8 |        100 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\utils\io.js                                      | JavaScript     |         24 |          2 |          2 |         28 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\utils\keyMenuItem.js                             | JavaScript     |         14 |          0 |          0 |         14 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\windows\videoCall.window.jsx                     | JavaScript JSX |        161 |          1 |         29 |        191 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\windows\videoCall.window.scss                    | SCSS           |        108 |          0 |          3 |        111 |
| Total                                                                                     |                |     11,329 |        205 |        987 |     12,521 |
+-------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
